t,B,N
9.148328,0.439113,0.071251
9.138123,0.438665,0.069584
9.087097,0.436429,0.068878
9.303959,0.441511,0.072162
9.291202,0.441107,0.070714
9.265689,0.440300,0.069725
9.454487,0.443175,0.072522
9.444282,0.442863,0.070855
9.393255,0.441299,0.070149
9.607566,0.444870,0.072946
9.597361,0.444558,0.071279
9.546334,0.442994,0.070573
9.763196,0.446467,0.073857
9.750440,0.446090,0.072409
9.724927,0.445335,0.071420
9.916276,0.448871,0.074281
9.903519,0.448592,0.072833
9.878006,0.447631,0.071844
10.066804,0.448299,0.074641
10.056598,0.448553,0.072974
10.005572,0.447809,0.072268
10.219883,0.448818,0.075065
10.209677,0.448553,0.073398
10.158651,0.449208,0.072692
10.372962,0.450429,0.075488
10.362757,0.450187,0.073822
10.311730,0.448977,0.073327
10.515836,0.453819,0.076505
10.515836,0.453819,0.075234
10.515836,0.453819,0.074033
10.668915,0.452891,0.076929
10.668915,0.452891,0.075658
10.668915,0.452891,0.074457
10.821994,0.456372,0.077353
10.821994,0.456372,0.076082
10.821994,0.456372,0.074881
10.975073,0.455333,0.077777
10.975073,0.455333,0.076505
10.975073,0.455333,0.075305
11.128152,0.458511,0.078200
11.128152,0.458511,0.076929
11.128152,0.458511,0.075728
11.281232,0.457451,0.078624
11.281232,0.457451,0.077353
11.281232,0.457451,0.076152
11.434311,0.460630,0.079048
11.434311,0.460630,0.077777
11.434311,0.460630,0.076576
11.587390,0.459097,0.079472
11.587390,0.459097,0.078200
11.587390,0.459097,0.077000
11.750674,0.460160,0.079302
11.740469,0.459945,0.077635
11.689443,0.461247,0.077141
11.903754,0.461007,0.079726
11.893548,0.460792,0.078059
11.842522,0.462094,0.077565
12.059384,0.461810,0.080213
12.046628,0.461548,0.078765
12.021114,0.463479,0.077988
12.199707,0.462744,0.080743
12.199707,0.462744,0.079472
12.199707,0.462744,0.078342
12.352786,0.465584,0.081167
12.352786,0.465584,0.079895
12.352786,0.465584,0.078695
12.516070,0.464009,0.080997
12.505865,0.463808,0.079330
12.454839,0.465342,0.078836
12.671701,0.465053,0.081484
12.658944,0.464850,0.080037
12.633431,0.464443,0.079260
12.812023,0.467289,0.082014
12.812023,0.467289,0.080743
12.812023,0.467289,0.079613
12.965103,0.466304,0.082438
12.965103,0.466304,0.081167
12.965103,0.466304,0.079966
13.130938,0.467182,0.082332
13.118182,0.467016,0.080884
13.092669,0.466683,0.080107
13.271261,0.469014,0.082861
13.271261,0.469014,0.081590
13.271261,0.469014,0.080460
13.434545,0.468148,0.082692
13.424340,0.468025,0.081096
13.373314,0.467409,0.080531
13.577419,0.469871,0.083285
13.577419,0.469871,0.082014
13.577419,0.469871,0.080955
13.730499,0.468872,0.083709
13.730499,0.468872,0.082438
13.730499,0.468872,0.081308
13.896334,0.469460,0.083603
13.883578,0.469304,0.082155
13.858065,0.468992,0.081378
14.036657,0.471173,0.084133
14.036657,0.471173,0.082861
14.036657,0.471173,0.081732
14.202493,0.469693,0.084027
14.189736,0.469458,0.082579
14.164223,0.471465,0.081802
14.342815,0.469811,0.084556
14.342815,0.469811,0.083285
14.342815,0.469811,0.082155
14.508651,0.470813,0.084451
14.495894,0.470640,0.083003
14.470381,0.470296,0.082226
14.648974,0.470376,0.084980
14.648974,0.470376,0.083709
14.648974,0.470376,0.082579
14.814809,0.471236,0.084874
14.802053,0.471064,0.083426
14.776540,0.470720,0.082650
14.955132,0.470799,0.085404
14.955132,0.470799,0.084133
14.955132,0.470799,0.082932
15.108211,0.472853,0.085404
15.108211,0.472853,0.084133
15.108211,0.472853,0.083073
15.271496,0.471313,0.085234
15.261290,0.471153,0.083568
15.210264,0.472767,0.083073
15.414370,0.471223,0.085828
15.414370,0.471223,0.084556
15.414370,0.471223,0.083497
15.567449,0.471223,0.085828
15.567449,0.471223,0.084556
15.567449,0.471223,0.083497
15.720528,0.473249,0.086251
15.720528,0.473249,0.084980
15.720528,0.473249,0.083780
15.873607,0.471506,0.086251
15.873607,0.471506,0.084980
15.873607,0.471506,0.083921
16.026686,0.471647,0.086251
16.026686,0.471647,0.084980
16.026686,0.471647,0.083921
16.179765,0.471647,0.086675
16.179765,0.471647,0.085404
16.179765,0.471647,0.084203
16.332845,0.471647,0.086675
16.332845,0.471647,0.085404
16.332845,0.471647,0.084345
16.485924,0.471647,0.086675
16.485924,0.471647,0.085404
16.485924,0.471647,0.084345
16.649208,0.471802,0.086506
16.639003,0.471647,0.084839
16.587977,0.473201,0.084345
16.792082,0.471647,0.087099
16.792082,0.471647,0.085828
16.792082,0.471647,0.084698
16.945161,0.471576,0.087099
16.945161,0.471576,0.085828
16.945161,0.471576,0.084768
17.098240,0.471435,0.087099
17.098240,0.471435,0.085828
17.098240,0.471435,0.084768
17.264076,0.471482,0.086993
17.251320,0.471294,0.085545
17.225806,0.473318,0.084768
17.404399,0.471223,0.087523
17.404399,0.471223,0.086251
17.404399,0.471223,0.085051
17.557478,0.471223,0.087523
17.557478,0.471223,0.086251
17.557478,0.471223,0.085192
17.710557,0.471153,0.087523
17.710557,0.471153,0.086251
17.710557,0.471153,0.085192
17.863636,0.470941,0.087523
17.863636,0.470941,0.086251
17.863636,0.470941,0.085192
18.016716,0.470799,0.087523
18.016716,0.470799,0.086251
18.016716,0.470799,0.085192
18.169795,0.470799,0.087946
18.169795,0.470799,0.086675
18.169795,0.470799,0.085404
18.322874,0.470588,0.087946
18.322874,0.470588,0.086675
18.322874,0.470588,0.085545
18.475953,0.470376,0.087946
18.475953,0.470376,0.086675
18.475953,0.470376,0.085616
18.629032,0.470305,0.087946
18.629032,0.470305,0.086675
18.629032,0.470305,0.085616
18.782111,0.470023,0.087946
18.782111,0.470023,0.086675
18.782111,0.470023,0.085616
18.935191,0.469952,0.087946
18.935191,0.469952,0.086675
18.935191,0.469952,0.085616
19.088270,0.469811,0.087946
19.088270,0.469811,0.086675
19.088270,0.469811,0.085616
19.251554,0.469684,0.087777
19.241349,0.469528,0.086110
19.190323,0.471176,0.085616
19.394428,0.469387,0.088370
19.394428,0.469387,0.087099
19.394428,0.469387,0.085828
19.547507,0.469104,0.088370
19.547507,0.469104,0.087099
19.547507,0.469104,0.085898
19.700587,0.469034,0.088370
19.700587,0.469034,0.087099
19.700587,0.469034,0.086040
19.853666,0.468751,0.088370
19.853666,0.468751,0.087099
19.853666,0.468751,0.086040
20.006745,0.468469,0.088370
20.006745,0.468469,0.087099
20.006745,0.468469,0.085969
20.159824,0.468328,0.088370
20.159824,0.468328,0.087099
20.159824,0.468328,0.086040
