t,B,N
45.570968,0.450672,0.084345
45.724047,0.450672,0.086675
45.724047,0.450672,0.085404
45.724047,0.450672,0.084345
45.877126,0.450672,0.086675
45.877126,0.450672,0.085404
45.877126,0.450672,0.084345
46.030205,0.450672,0.086675
46.030205,0.450672,0.085404
46.030205,0.450672,0.084345
46.183284,0.450672,0.086675
46.183284,0.450672,0.085404
46.183284,0.450672,0.084345
46.336364,0.450672,0.086675
46.336364,0.450672,0.085404
46.336364,0.450672,0.084345
46.489443,0.450672,0.086675
46.489443,0.450672,0.085404
46.489443,0.450672,0.084345
46.642522,0.450460,0.086675
46.642522,0.450460,0.085404
46.642522,0.450460,0.084345
46.795601,0.450460,0.086675
46.795601,0.450460,0.085404
46.795601,0.450460,0.084345
46.948680,0.450460,0.086675
46.948680,0.450460,0.085404
46.948680,0.450460,0.084345
47.101760,0.450460,0.086675
47.101760,0.450460,0.085404
47.101760,0.450460,0.084345
47.254839,0.450460,0.086675
47.254839,0.450460,0.085404
47.254839,0.450460,0.084345
47.407918,0.450460,0.086675
47.407918,0.450460,0.085404
47.407918,0.450460,0.084345
47.560997,0.450460,0.086675
47.560997,0.450460,0.085404
47.560997,0.450460,0.084345
47.714076,0.450460,0.086675
47.714076,0.450460,0.085404
47.714076,0.450460,0.084345
47.867155,0.450460,0.086675
47.867155,0.450460,0.085404
47.867155,0.450460,0.084345
48.020235,0.450460,0.086675
48.020235,0.450460,0.085404
48.020235,0.450460,0.084345
48.173314,0.450460,0.086675
48.173314,0.450460,0.085404
48.173314,0.450460,0.084345
48.326393,0.450460,0.086675
48.326393,0.450460,0.085404
48.326393,0.450460,0.084345
48.479472,0.450460,0.086675
48.479472,0.450460,0.085404
48.479472,0.450460,0.084345
48.632551,0.450460,0.086675
48.632551,0.450460,0.085404
48.632551,0.450460,0.084345
48.785630,0.450460,0.086675
48.785630,0.450460,0.085404
48.785630,0.450460,0.084345
48.938710,0.450460,0.086675
48.938710,0.450460,0.085404
48.938710,0.450460,0.084345
49.091789,0.450460,0.086675
49.091789,0.450460,0.085404
49.091789,0.450460,0.084345
49.244868,0.450460,0.086675
49.244868,0.450460,0.085404
49.244868,0.450460,0.084345
49.397947,0.450460,0.086675
49.397947,0.450460,0.085404
49.397947,0.450460,0.084345
49.551026,0.450460,0.086675
49.551026,0.450460,0.085404
49.551026,0.450460,0.084345
49.704106,0.450460,0.086675
49.704106,0.450460,0.085404
49.704106,0.450460,0.084345
49.857185,0.450460,0.086675
49.857185,0.450460,0.085404
49.857185,0.450460,0.084345
50.010264,0.450460,0.086675
50.010264,0.450460,0.085404
50.010264,0.450460,0.084345
50.163343,0.452513,0.086675
50.163343,0.452513,0.085404
50.163343,0.452513,0.084345
50.316422,0.450672,0.086675
50.316422,0.450672,0.085404
50.316422,0.450672,0.084345
50.469501,0.450672,0.086675
50.469501,0.450672,0.085404
50.469501,0.450672,0.084345
50.622581,0.450672,0.086675
50.622581,0.450672,0.085404
50.622581,0.450672,0.084345
50.775660,0.450672,0.086675
50.775660,0.450672,0.085404
50.775660,0.450672,0.084345
50.928739,0.450672,0.086675
50.928739,0.450672,0.085404
50.928739,0.450672,0.084345
51.081818,0.450672,0.086675
51.081818,0.450672,0.085404
51.081818,0.450672,0.084345
51.234897,0.450672,0.086675
51.234897,0.450672,0.085404
51.234897,0.450672,0.084345
51.387977,0.450672,0.086675
51.387977,0.450672,0.085404
51.387977,0.450672,0.084345
51.541056,0.450672,0.086675
51.541056,0.450672,0.085404
51.541056,0.450672,0.084345
51.694135,0.450672,0.086675
51.694135,0.450672,0.085404
51.694135,0.450672,0.084345
51.847214,0.450672,0.086675
51.847214,0.450672,0.085404
51.847214,0.450672,0.084345
52.000293,0.450672,0.086675
52.000293,0.450672,0.085404
52.000293,0.450672,0.084345
52.153372,0.450672,0.086675
52.153372,0.450672,0.085404
52.153372,0.450672,0.084345
52.306452,0.450672,0.086675
52.306452,0.450672,0.085404
52.306452,0.450672,0.084345
52.459531,0.450672,0.086675
52.459531,0.450672,0.085404
52.459531,0.450672,0.084345
52.612610,0.450672,0.086675
52.612610,0.450672,0.085404
52.612610,0.450672,0.084345
52.765689,0.450672,0.086675
52.765689,0.450672,0.085404
52.765689,0.450672,0.084345
52.918768,0.450672,0.086675
52.918768,0.450672,0.085404
52.918768,0.450672,0.084345
53.071848,0.450672,0.086675
53.071848,0.450672,0.085404
53.071848,0.450672,0.084345
53.224927,0.450672,0.086675
53.224927,0.450672,0.085404
53.224927,0.450672,0.084345
53.378006,0.450672,0.086675
53.378006,0.450672,0.085404
53.378006,0.450672,0.084345
53.531085,0.450672,0.086675
53.531085,0.450672,0.085404
53.531085,0.450672,0.084345
53.684164,0.450672,0.086675
53.684164,0.450672,0.085404
53.684164,0.450672,0.084345
53.837243,0.450672,0.086675
53.837243,0.450672,0.085404
53.837243,0.450672,0.084345
53.990323,0.450672,0.086675
53.990323,0.450672,0.085404
53.990323,0.450672,0.084345
54.143402,0.450672,0.086675
54.143402,0.450672,0.085404
54.143402,0.450672,0.084345
54.296481,0.450672,0.086675
54.296481,0.450672,0.085404
54.296481,0.450672,0.084345
54.449560,0.450672,0.086675
54.449560,0.450672,0.085404
54.449560,0.450672,0.084345
54.602639,0.450672,0.086675
54.602639,0.450672,0.085404
54.602639,0.450672,0.084345
54.755718,0.450672,0.086675
54.755718,0.450672,0.085404
54.755718,0.450672,0.084345
54.908798,0.450672,0.086675
54.908798,0.450672,0.085404
54.908798,0.450672,0.084345
55.061877,0.450672,0.086675
55.061877,0.450672,0.085404
55.061877,0.450672,0.084345
55.214956,0.450672,0.086675
55.214956,0.450672,0.085404
55.214956,0.450672,0.084345
55.368035,0.450672,0.086675
55.368035,0.450672,0.085404
55.368035,0.450672,0.084345
55.521114,0.450672,0.086675
55.521114,0.450672,0.085404
55.521114,0.450672,0.084345
55.674194,0.450672,0.086675
55.674194,0.450672,0.085404
55.674194,0.450672,0.084345
55.827273,0.450672,0.086675
55.827273,0.450672,0.085404
55.827273,0.450672,0.084345
55.980352,0.450672,0.086675
55.980352,0.450672,0.085404
55.980352,0.450672,0.084345
56.133431,0.450672,0.086675
56.133431,0.450672,0.085404
56.133431,0.450672,0.084345
56.286510,0.450672,0.086675
56.286510,0.450672,0.085404
56.286510,0.450672,0.084345
56.439589,0.450672,0.086675
56.439589,0.450672,0.085404
56.439589,0.450672,0.084345
56.592669,0.450672,0.086675
56.592669,0.450672,0.085404
56.592669,0.450672,0.084345
56.745748,0.450672,0.086675
56.745748,0.450672,0.085404
56.745748,0.450672,0.084345
56.898827,0.450672,0.086675
56.898827,0.450672,0.085404
56.898827,0.450672,0.084345
57.051906,0.450672,0.086675
57.051906,0.450672,0.085404
57.051906,0.450672,0.084345
57.204985,0.450672,0.086675
57.204985,0.450672,0.085404
57.204985,0.450672,0.084345
57.358065,0.450672,0.086675
57.358065,0.450672,0.085404
57.358065,0.450672,0.084345
57.511144,0.450672,0.086675
57.511144,0.450672,0.085404
57.511144,0.450672,0.084345
57.664223,0.450672,0.086675
57.664223,0.450672,0.085404
57.664223,0.450672,0.084345
57.817302,0.450672,0.086675
57.817302,0.450672,0.085404
57.817302,0.450672,0.084345
57.970381,0.450672,0.086675
57.970381,0.450672,0.085404
57.970381,0.450672,0.084345
58.123460,0.450813,0.086675
58.123460,0.450813,0.085404
58.123460,0.450813,0.084345
58.276540,0.450883,0.086675
58.276540,0.450883,0.085404
58.276540,0.450883,0.084345
58.429619,0.450883,0.086675
58.429619,0.450883,0.085404
58.429619,0.450883,0.084345
58.582698,0.450883,0.086675
58.582698,0.450883,0.085404
58.582698,0.450883,0.084345
58.735777,0.450883,0.086675
58.735777,0.450883,0.085404
58.735777,0.450883,0.084345
58.888856,0.450883,0.086675
58.888856,0.450883,0.085404
58.888856,0.450883,0.084345
59.041935,0.450883,0.086675
59.041935,0.450883,0.085404
59.041935,0.450883,0.084345
59.195015,0.450883,0.086675
59.195015,0.450883,0.085404
59.195015,0.450883,0.084345
59.348094,0.450883,0.086675
59.348094,0.450883,0.085404
59.348094,0.450883,0.084345
59.501173,0.450883,0.086675
59.501173,0.450883,0.085404
59.501173,0.450883,0.084345
59.654252,0.450883,0.086675
59.654252,0.450883,0.085404
59.654252,0.450883,0.084345
59.807331,0.450883,0.086675
59.807331,0.450883,0.085404
59.807331,0.450883,0.084345
59.960411,0.450742,0.086675
59.960411,0.450742,0.085404
59.960411,0.450742,0.084345
60.113490,0.450813,0.086675
60.113490,0.450813,0.085404
60.113490,0.450813,0.084345
60.266569,0.450883,0.086675
60.266569,0.450883,0.085404
60.266569,0.450883,0.084345
60.419648,0.450883,0.086675
60.419648,0.450883,0.085404
60.419648,0.450883,0.084345
60.572727,0.450883,0.086675
60.572727,0.450883,0.085404
60.572727,0.450883,0.084345
60.725806,0.450883,0.086675
60.725806,0.450883,0.085404
60.725806,0.450883,0.084345
60.878886,0.450883,0.086675
60.878886,0.450883,0.085404
60.878886,0.450883,0.084345
61.031965,0.450883,0.086675
61.031965,0.450883,0.085404
61.031965,0.450883,0.084345
61.185044,0.450883,0.086675
61.185044,0.450883,0.085404
61.185044,0.450883,0.084345
61.338123,0.450883,0.086675
61.338123,0.450883,0.085404
61.338123,0.450883,0.084345
61.491202,0.450883,0.086675
61.491202,0.450883,0.085404
61.491202,0.450883,0.084345
61.644282,0.450883,0.086675
61.644282,0.450883,0.085404
61.644282,0.450883,0.084345
61.797361,0.450883,0.086675
61.797361,0.450883,0.085404
61.797361,0.450883,0.084345
61.950440,0.450883,0.086675
61.950440,0.450883,0.085404
61.950440,0.450883,0.084345
62.103519,0.450883,0.086675
62.103519,0.450883,0.085404
62.103519,0.450883,0.084345
62.256598,0.450883,0.086675
62.256598,0.450883,0.085404
62.256598,0.450883,0.084345
62.409677,0.450883,0.086675
62.409677,0.450883,0.085404
62.409677,0.450883,0.084345
62.562757,0.450883,0.086675
62.562757,0.450883,0.085404
62.562757,0.450883,0.084345
62.715836,0.450883,0.086675
62.715836,0.450883,0.085404
62.715836,0.450883,0.084345
62.868915,0.450883,0.086675
62.868915,0.450883,0.085404
62.868915,0.450883,0.084345
63.021994,0.450883,0.086675
63.021994,0.450883,0.085404
63.021994,0.450883,0.084345
63.175073,0.450883,0.086675
63.175073,0.450883,0.085404
63.175073,0.450883,0.084345
63.328152,0.450883,0.086675
63.328152,0.450883,0.085404
63.328152,0.450883,0.084345
63.481232,0.450883,0.086675
63.481232,0.450883,0.085404
63.481232,0.450883,0.084345
63.634311,0.450883,0.086675
63.634311,0.450883,0.085404
63.634311,0.450883,0.084345
63.787390,0.450883,0.086675
63.787390,0.450883,0.085404
63.787390,0.450883,0.084345
63.940469,0.450883,0.086675
63.940469,0.450883,0.085404
63.940469,0.450883,0.084345
64.093548,0.450883,0.086675
64.093548,0.450883,0.085404
64.093548,0.450883,0.084345
64.246628,0.450883,0.086675
64.246628,0.450883,0.085404
64.246628,0.450883,0.084345
64.399707,0.450883,0.086675
64.399707,0.450883,0.085404
64.399707,0.450883,0.084345
64.552786,0.450883,0.086675
64.552786,0.450883,0.085404
64.552786,0.450883,0.084345
64.705865,0.450883,0.086675
64.705865,0.450883,0.085404
64.705865,0.450883,0.084345
64.858944,0.450883,0.086675
64.858944,0.450883,0.085404
64.858944,0.450883,0.084345
65.012023,0.450883,0.086675
65.012023,0.450883,0.085404
65.012023,0.450883,0.084345
65.165103,0.450883,0.086675
65.165103,0.450883,0.085404
65.165103,0.450883,0.084345
65.318182,0.450883,0.086675
65.318182,0.450883,0.085404
65.318182,0.450883,0.084345
65.471261,0.450883,0.086675
65.471261,0.450883,0.085404
65.471261,0.450883,0.084345
65.624340,0.450883,0.086675
65.624340,0.450883,0.085404
65.624340,0.450883,0.084345
65.777419,0.450883,0.086675
65.777419,0.450883,0.085404
65.777419,0.450883,0.084345
65.930499,0.450883,0.086675
65.930499,0.450883,0.085404
65.930499,0.450883,0.084345
66.083578,0.450883,0.086675
66.083578,0.450883,0.085404
66.083578,0.450883,0.084345
66.236657,0.450883,0.086675
66.236657,0.450883,0.085404
66.236657,0.450883,0.084345
66.389736,0.450883,0.086675
66.389736,0.450883,0.085404
66.389736,0.450883,0.084345
66.542815,0.450883,0.086675
66.542815,0.450883,0.085404
66.542815,0.450883,0.084345
66.695894,0.450883,0.086675
66.695894,0.450883,0.085404
66.695894,0.450883,0.084345
66.848974,0.450883,0.086675
66.848974,0.450883,0.085404
66.848974,0.450883,0.084345
67.002053,0.450883,0.086675
67.002053,0.450883,0.085404
67.002053,0.450883,0.084345
67.155132,0.450883,0.086675
67.155132,0.450883,0.085404
67.155132,0.450883,0.084345
67.308211,0.450883,0.086675
67.308211,0.450883,0.085404
67.308211,0.450883,0.084345
67.461290,0.450883,0.086675
67.461290,0.450883,0.085404
67.461290,0.450883,0.084345
67.614370,0.450883,0.086675
67.614370,0.450883,0.085404
67.614370,0.450883,0.084345
67.767449,0.450883,0.086675
67.767449,0.450883,0.085404
67.767449,0.450883,0.084345
67.920528,0.450883,0.086675
67.920528,0.450883,0.085404
67.920528,0.450883,0.084345
68.073607,0.450883,0.086675
68.073607,0.450883,0.085404
68.073607,0.450883,0.084345
68.226686,0.450883,0.086675
68.226686,0.450883,0.085404
68.226686,0.450883,0.084345
68.379765,0.450883,0.086675
68.379765,0.450883,0.085404
68.379765,0.450883,0.084345
68.532845,0.450883,0.086675
68.532845,0.450883,0.085404
68.532845,0.450883,0.084345
68.685924,0.450883,0.086675
68.685924,0.450883,0.085404
68.685924,0.450883,0.084345
68.839003,0.450883,0.086675
68.839003,0.450883,0.085404
68.839003,0.450883,0.084345
68.992082,0.450883,0.086675
68.992082,0.450883,0.085404
68.992082,0.450883,0.084345
69.145161,0.450883,0.086675
69.145161,0.450883,0.085404
69.145161,0.450883,0.084345
69.298240,0.450883,0.086675
69.298240,0.450883,0.085404
69.298240,0.450883,0.084345
69.451320,0.450883,0.086675
69.451320,0.450883,0.085404
69.451320,0.450883,0.084345
69.604399,0.450883,0.086675
69.604399,0.450883,0.085404
69.604399,0.450883,0.084345
69.757478,0.450883,0.086675
69.757478,0.450883,0.085404
69.757478,0.450883,0.084345
69.910557,0.450883,0.086675
69.910557,0.450883,0.085404
69.910557,0.450883,0.084345
70.063636,0.450883,0.086675
70.063636,0.450883,0.085404
70.063636,0.450883,0.084345
70.216716,0.450883,0.086675
70.216716,0.450883,0.085404
70.216716,0.450883,0.084345
70.369795,0.450883,0.086675
70.369795,0.450883,0.085404
70.369795,0.450883,0.084345
70.522874,0.450883,0.086675
70.522874,0.450883,0.085404
70.522874,0.450883,0.084345
70.675953,0.450883,0.086675
70.675953,0.450883,0.085404
70.675953,0.450883,0.084345
70.829032,0.450883,0.086675
70.829032,0.450883,0.085404
70.829032,0.450883,0.084345
70.982111,0.450883,0.086675
70.982111,0.450883,0.085404
70.982111,0.450883,0.084345
71.135191,0.450883,0.086675
71.135191,0.450883,0.085404
71.135191,0.450883,0.084345
71.288270,0.450883,0.086675
71.288270,0.450883,0.085404
71.288270,0.450883,0.084345
71.441349,0.450883,0.086675
71.441349,0.450883,0.085404
71.441349,0.450883,0.084345
71.594428,0.450883,0.086675
71.594428,0.450883,0.085404
71.594428,0.450883,0.084345
71.747507,0.450883,0.086675
71.747507,0.450883,0.085404
71.747507,0.450883,0.084345
71.900587,0.450883,0.086675
71.900587,0.450883,0.085404
71.900587,0.450883,0.084345
72.053666,0.450883,0.086675
72.053666,0.450883,0.085404
72.053666,0.450883,0.084345
72.206745,0.450883,0.086675
72.206745,0.450883,0.085404
72.206745,0.450883,0.084345
72.359824,0.450883,0.086675
72.359824,0.450883,0.085404
72.359824,0.450883,0.084345
72.512903,0.450883,0.086675
72.512903,0.450883,0.085404
72.512903,0.450883,0.084345
72.665982,0.450883,0.086675
72.665982,0.450883,0.085404
72.665982,0.450883,0.084345
72.819062,0.450883,0.086675
72.819062,0.450883,0.085404
72.819062,0.450883,0.084345
72.972141,0.450883,0.086675
72.972141,0.450883,0.085404
72.972141,0.450883,0.084345
73.125220,0.450883,0.086675
73.125220,0.450883,0.085404
73.125220,0.450883,0.084345
73.278299,0.450883,0.086675
73.278299,0.450883,0.085404
73.278299,0.450883,0.084345
73.431378,0.450883,0.086675
73.431378,0.450883,0.085404
73.431378,0.450883,0.084345
73.584457,0.450883,0.086675
73.584457,0.450883,0.085404
73.584457,0.450883,0.084345
73.737537,0.450883,0.086675
73.737537,0.450883,0.085404
73.737537,0.450883,0.084345
73.890616,0.450883,0.086675
73.890616,0.450883,0.085404
73.890616,0.450883,0.084345
74.043695,0.450883,0.086675
74.043695,0.450883,0.085404
74.043695,0.450883,0.084345
74.196774,0.450883,0.086675
74.196774,0.450883,0.085404
74.196774,0.450883,0.084345
74.349853,0.450883,0.086675
74.349853,0.450883,0.085404
74.349853,0.450883,0.084345
74.502933,0.450883,0.086675
74.502933,0.450883,0.085404
74.502933,0.450883,0.084345
74.656012,0.450883,0.086675
74.656012,0.450883,0.085404
74.656012,0.450883,0.084345
74.809091,0.450883,0.086675
74.809091,0.450883,0.085404
74.809091,0.450883,0.084345
74.962170,0.450883,0.086675
74.962170,0.450883,0.085404
74.962170,0.450883,0.084345
75.115249,0.450883,0.086675
75.115249,0.450883,0.085404
75.115249,0.450883,0.084345
75.268328,0.450883,0.086675
75.268328,0.450883,0.085404
75.268328,0.450883,0.084345
75.421408,0.450883,0.086675
75.421408,0.450883,0.085404
75.421408,0.450883,0.084345
75.574487,0.450883,0.086675
75.574487,0.450883,0.085404
75.574487,0.450883,0.084345
75.727566,0.450883,0.086675
75.727566,0.450883,0.085404
75.727566,0.450883,0.084345
75.880645,0.450883,0.086675
75.880645,0.450883,0.085404
75.880645,0.450883,0.084345
76.033724,0.450883,0.086675
76.033724,0.450883,0.085404
76.033724,0.450883,0.084345
76.186804,0.450883,0.086675
76.186804,0.450883,0.085404
76.186804,0.450883,0.084345
76.339883,0.450883,0.086675
76.339883,0.450883,0.085404
76.339883,0.450883,0.084345
76.492962,0.450883,0.086675
76.492962,0.450883,0.085404
76.492962,0.450883,0.084345
76.646041,0.450883,0.086675
76.646041,0.450883,0.085404
76.646041,0.450883,0.084345
76.799120,0.450883,0.086675
76.799120,0.450883,0.085404
76.799120,0.450883,0.084345
76.952199,0.450883,0.086675
76.952199,0.450883,0.085404
76.952199,0.450883,0.084345
77.105279,0.450883,0.086675
77.105279,0.450883,0.085404
77.105279,0.450883,0.084345
77.258358,0.450883,0.086675
77.258358,0.450883,0.085404
77.258358,0.450883,0.084345
77.411437,0.450883,0.086675
77.411437,0.450883,0.085404
77.411437,0.450883,0.084345
77.564516,0.450883,0.086675
77.564516,0.450883,0.085404
77.564516,0.450883,0.084345
77.717595,0.450883,0.086675
77.717595,0.450883,0.085404
77.717595,0.450883,0.084345
77.870674,0.450883,0.086675
77.870674,0.450883,0.085404
77.870674,0.450883,0.084345
78.023754,0.450883,0.086675
78.023754,0.450883,0.085404
78.023754,0.450883,0.084345
78.176833,0.450883,0.086675
78.176833,0.450883,0.085404
78.176833,0.450883,0.084345
78.329912,0.450883,0.086675
78.329912,0.450883,0.085404
78.329912,0.450883,0.084345
78.482991,0.450883,0.086675
78.482991,0.450883,0.085404
78.482991,0.450883,0.084345
78.636070,0.450883,0.086675
78.636070,0.450883,0.085404
78.636070,0.450883,0.084345
78.789150,0.450883,0.086675
78.789150,0.450883,0.085404
78.789150,0.450883,0.084345
78.942229,0.450883,0.086675
78.942229,0.450883,0.085404
78.942229,0.450883,0.084345
79.095308,0.450883,0.086675
79.095308,0.450883,0.085404
79.095308,0.450883,0.084345
79.248387,0.450883,0.086675
79.248387,0.450883,0.085404
79.248387,0.450883,0.084345
79.401466,0.450883,0.086675
79.401466,0.450883,0.085404
79.401466,0.450883,0.084345
79.554545,0.450883,0.086675
79.554545,0.450883,0.085404
79.554545,0.450883,0.084345
79.707625,0.450883,0.086675
79.707625,0.450883,0.085404
79.707625,0.450883,0.084345
79.860704,0.450883,0.086675
79.860704,0.450883,0.085404
79.860704,0.450883,0.084345
80.013783,0.450672,0.086675
80.013783,0.450672,0.085404
80.013783,0.450672,0.084345
80.166862,0.450883,0.086675
80.166862,0.450883,0.085404
80.166862,0.450883,0.084345
80.319941,0.450883,0.086675
80.319941,0.450883,0.085404
80.319941,0.450883,0.084345
80.473021,0.450883,0.086675
80.473021,0.450883,0.085404
80.473021,0.450883,0.084345
80.626100,0.450883,0.086675
80.626100,0.450883,0.085404
80.626100,0.450883,0.084345
80.779179,0.450883,0.086675
80.779179,0.450883,0.085404
80.779179,0.450883,0.084345
80.932258,0.450883,0.086675
80.932258,0.450883,0.085404
80.932258,0.450883,0.084345
81.085337,0.450883,0.086675
81.085337,0.450883,0.085404
81.085337,0.450883,0.084345
81.238416,0.450883,0.086675
81.238416,0.450883,0.085404
81.238416,0.450883,0.084345
81.391496,0.450883,0.086675
81.391496,0.450883,0.085404
81.391496,0.450883,0.084345
81.544575,0.450883,0.086675
81.544575,0.450883,0.085404
81.544575,0.450883,0.084345
81.697654,0.450883,0.086675
81.697654,0.450883,0.085404
81.697654,0.450883,0.084345
81.850733,0.450883,0.086675
81.850733,0.450883,0.085404
81.850733,0.450883,0.084345
82.003812,0.450883,0.086675
82.003812,0.450883,0.085404
82.003812,0.450883,0.084345
82.156891,0.450883,0.086675
82.156891,0.450883,0.085404
82.156891,0.450883,0.084345
82.309971,0.450883,0.086675
82.309971,0.450883,0.085404
82.309971,0.450883,0.084345
82.463050,0.450883,0.086675
82.463050,0.450883,0.085404
82.463050,0.450883,0.084345
82.616129,0.450883,0.086675
82.616129,0.450883,0.085404
82.616129,0.450883,0.084345
82.769208,0.450883,0.086675
82.769208,0.450883,0.085404
82.769208,0.450883,0.084345
82.922287,0.450883,0.086675
82.922287,0.450883,0.085404
82.922287,0.450883,0.084345
83.075367,0.450883,0.086675
83.075367,0.450883,0.085404
83.075367,0.450883,0.084345
83.228446,0.450883,0.086675
83.228446,0.450883,0.085404
83.228446,0.450883,0.084345
83.381525,0.450883,0.086675
83.381525,0.450883,0.085404
83.381525,0.450883,0.084345
83.534604,0.450883,0.086675
83.534604,0.450883,0.085404
83.534604,0.450883,0.084345
83.687683,0.450883,0.086675
83.687683,0.450883,0.085404
83.687683,0.450883,0.084345
83.840762,0.450883,0.086675
83.840762,0.450883,0.085404
83.840762,0.450883,0.084345
83.993842,0.450883,0.086675
83.993842,0.450883,0.085404
83.993842,0.450883,0.084345
84.146921,0.450883,0.086675
84.146921,0.450883,0.085404
84.146921,0.450883,0.084345
84.300000,0.450883,0.086675
84.300000,0.450883,0.085404
84.300000,0.450883,0.084345
84.453079,0.450883,0.086675
84.453079,0.450883,0.085404
84.453079,0.450883,0.084345
84.606158,0.450883,0.086675
84.606158,0.450883,0.085404
84.606158,0.450883,0.084345
84.759238,0.450883,0.086675
84.759238,0.450883,0.085404
84.759238,0.450883,0.084345
84.912317,0.450883,0.086675
84.912317,0.450883,0.085404
84.912317,0.450883,0.084345
85.065396,0.450883,0.086675
85.065396,0.450883,0.085404
85.065396,0.450883,0.084345
85.218475,0.450883,0.086675
85.218475,0.450883,0.085404
85.218475,0.450883,0.084345
85.371554,0.450883,0.086675
85.371554,0.450883,0.085404
85.371554,0.450883,0.084345
85.524633,0.450883,0.086675
85.524633,0.450883,0.085404
85.524633,0.450883,0.084345
85.677713,0.450883,0.086675
85.677713,0.450883,0.085404
85.677713,0.450883,0.084345
85.830792,0.450883,0.086675
85.830792,0.450883,0.085404
85.830792,0.450883,0.084345
85.983871,0.450883,0.086675
85.983871,0.450883,0.085404
85.983871,0.450883,0.084345
86.136950,0.450883,0.086675
86.136950,0.450883,0.085404
86.136950,0.450883,0.084345
86.290029,0.450883,0.086675
86.290029,0.450883,0.085404
86.290029,0.450883,0.084345
86.443109,0.450883,0.086675
86.443109,0.450883,0.085404
86.443109,0.450883,0.084345
86.596188,0.450883,0.086675
86.596188,0.450883,0.085404
86.596188,0.450883,0.084345
86.749267,0.450883,0.086675
86.749267,0.450883,0.085404
86.749267,0.450883,0.084345
86.902346,0.450883,0.086675
86.902346,0.450883,0.085404
86.902346,0.450883,0.084345
87.055425,0.450883,0.086675
87.055425,0.450883,0.085404
87.055425,0.450883,0.084345
87.208504,0.450883,0.086675
87.208504,0.450883,0.085404
87.208504,0.450883,0.084345
87.361584,0.450883,0.086675
87.361584,0.450883,0.085404
87.361584,0.450883,0.084345
87.514663,0.450883,0.086675
87.514663,0.450883,0.085404
87.514663,0.450883,0.084345
87.667742,0.450883,0.086675
87.667742,0.450883,0.085404
87.667742,0.450883,0.084345
87.820821,0.450883,0.086675
87.820821,0.450883,0.085404
87.820821,0.450883,0.084345
87.973900,0.450883,0.086675
87.973900,0.450883,0.085404
87.973900,0.450883,0.084345
88.126979,0.450883,0.086675
88.126979,0.450883,0.085404
88.126979,0.450883,0.084345
88.280059,0.450883,0.086675
88.280059,0.450883,0.085404
88.280059,0.450883,0.084345
88.433138,0.450883,0.086675
88.433138,0.450883,0.085404
88.433138,0.450883,0.084345
88.586217,0.450883,0.086675
88.586217,0.450883,0.085404
88.586217,0.450883,0.084345
88.739296,0.450883,0.086675
88.739296,0.450883,0.085404
88.739296,0.450883,0.084345
88.892375,0.450883,0.086675
88.892375,0.450883,0.085404
88.892375,0.450883,0.084345
89.045455,0.450883,0.086675
89.045455,0.450883,0.085404
89.045455,0.450883,0.084345
89.198534,0.450883,0.086675
89.198534,0.450883,0.085404
89.198534,0.450883,0.084345
89.351613,0.450883,0.086675
89.351613,0.450883,0.085404
89.351613,0.450883,0.084345
89.504692,0.450883,0.086675
89.504692,0.450883,0.085404
89.504692,0.450883,0.084345
89.657771,0.450883,0.086675
89.657771,0.450883,0.085404
89.657771,0.450883,0.084345
89.810850,0.450883,0.086675
89.810850,0.450883,0.085404
89.810850,0.450883,0.084345
89.963930,0.450883,0.086675
89.963930,0.450883,0.085404
89.963930,0.450883,0.084345
90.117009,0.450883,0.086675
90.117009,0.450883,0.085404
90.117009,0.450883,0.084345
90.270088,0.450883,0.086675
90.270088,0.450883,0.085404
90.270088,0.450883,0.084345
90.423167,0.450883,0.086675
90.423167,0.450883,0.085404
90.423167,0.450883,0.084345
90.576246,0.450883,0.086675
90.576246,0.450883,0.085404
90.576246,0.450883,0.084345
90.729326,0.450883,0.086675
90.729326,0.450883,0.085404
90.729326,0.450883,0.084345
90.882405,0.450883,0.086675
90.882405,0.450883,0.085404
90.882405,0.450883,0.084345
91.035484,0.450883,0.086675
91.035484,0.450883,0.085404
91.035484,0.450883,0.084345
91.188563,0.450883,0.086675
91.188563,0.450883,0.085404
91.188563,0.450883,0.084345
91.341642,0.450883,0.086675
91.341642,0.450883,0.085404
91.341642,0.450883,0.084345
91.494721,0.450883,0.086675
91.494721,0.450883,0.085404
91.494721,0.450883,0.084345
91.647801,0.450883,0.086675
91.647801,0.450883,0.085404
91.647801,0.450883,0.084345
91.800880,0.450883,0.086675
91.800880,0.450883,0.085404
91.800880,0.450883,0.084345
91.953959,0.450883,0.086675
91.953959,0.450883,0.085404
91.953959,0.450883,0.084345
92.107038,0.450883,0.086675
92.107038,0.450883,0.085404
92.107038,0.450883,0.084345
92.260117,0.450883,0.086675
92.260117,0.450883,0.085404
92.260117,0.450883,0.084345
92.413196,0.450883,0.086675
92.413196,0.450883,0.085404
92.413196,0.450883,0.084345
92.566276,0.450883,0.086675
92.566276,0.450883,0.085404
92.566276,0.450883,0.084345
92.719355,0.450883,0.086675
92.719355,0.450883,0.085404
92.719355,0.450883,0.084345
92.872434,0.450883,0.086675
92.872434,0.450883,0.085404
92.872434,0.450883,0.084345
93.025513,0.450883,0.086675
93.025513,0.450883,0.085404
93.025513,0.450883,0.084345
93.178592,0.450883,0.086675
